Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
NuCypher,https://www.crunchbase.com/organization/nucypher,"Blockchain, Cyber Security, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-03-19,day,,,2017-12-12,4400000,USD,4400000,Venture - Series Unknown,4400000,USD,4400000,,"Compound, Creative Destruction Lab, Kenetic, Polychain, Y Combinator",17
Contguard,https://www.crunchbase.com/organization/contguard,"Business Intelligence, Internet of Things, Logistics, Security, Shipping, Supply Chain Management","Hod Hasharon, HaMerkaz, Israel",,2012-01-01,year,,,2018-06-30,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"AXA Group, Canaan Partners, Canaan Partners Israel, Citi Ventures, Citigroup",5
neXus,https://www.crunchbase.com/organization/nexus-3,"Computer, Information Technology, Network Security","Hägersten, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",1984-01-01,year,,,2017-12-20,29000000,EUR,34445241,Debt Financing,,,,,European Investment Bank (EIB),1
SafeToNet,https://www.crunchbase.com/organization/safetonet,"Apps, Artificial Intelligence, Cyber Security, Information Technology, Mobile Apps","London, England, United Kingdom",European Union (EU),2013-01-01,year,,,2018-06-01,13000000,USD,13000000,Series A,13000000,USD,13000000,Early Stage Venture,"Armada Ventures, DuKlaw Ventures, Pitch@Palace, West Hill Capital",4
SafeGuard Cyber,https://www.crunchbase.com/organization/safeguard-cyber,"Cyber Security, Financial Services, Health Care, Information Technology, Risk Management, Security","Charlottesville, Virginia, United States","East Coast, Southern US",2014-01-01,year,,,2018-06-27,11000000,USD,11000000,Series B,11000000,USD,11000000,Early Stage Venture,"AllegisCyber, NightDragon Security",2
Sandvine,https://www.crunchbase.com/organization/sandvine,"Cloud Computing, Network Security, Telecommunications","Waterloo, Ontario, Canada",Great Lakes,2001-01-01,year,2006-11-03,day,2017-07-05,,,,Post-IPO Equity,,,,M&A,"BDC Venture Capital, Canaccord Genuity Group, Celtic House Venture Partners, Newbury Ventures, Tech Capital Partners",7
Pwnie Express,https://www.crunchbase.com/organization/pwnie-express,"Cyber Security, Network Security, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2009-01-01,year,,,2017-11-29,8000000,USD,8000000,Series C,8000000,USD,8000000,Late Stage Venture,".406 Ventures, Ascent Venture Partners, Fairhaven Capital Partners, MassMutual Ventures, Vermont Center for Emerging Technologies",5
Cygilant,https://www.crunchbase.com/organization/eiqnetworks,"Cyber Security, Enterprise Software, Network Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2001-01-01,year,,,2017-09-19,7000000,USD,7000000,Venture - Series Unknown,7000000,USD,7000000,,"Arrowroot Capital, Jay Reddy, Venrock, Vijay Basani",4
Meta Networks,https://www.crunchbase.com/organization/meta-networks,"Computer, Cyber Security, Information Technology, Network Security","Tel Aviv, Tel Aviv, Israel",,2016-01-01,year,2019-05-06,day,2018-04-03,10000000,USD,10000000,Seed,10000000,USD,10000000,M&A,"BRM Capital, Vertex Ventures, Vertex Ventures Israel",3
Bricata,https://www.crunchbase.com/organization/bricata,"Cloud Security, Computer, Cyber Security, Intrusion Detection, Network Security, Security","Columbia, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2014-01-01,year,,,2018-03-22,2500000,USD,2500000,Debt Financing,8000000,USD,8000000,Early Stage Venture,"Edison Partners, Howard County Economic Development Authority",2
DocAuthority,https://www.crunchbase.com/organization/docauthority,"Information Technology, Internet, Security","Ra'anana, HaMerkaz, Israel",,2013-01-01,year,,,2018-06-06,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"2B Angels, ff Venture Capital, Greycroft, PLUS Ventures, Raine Ventures",6
Enveil,https://www.crunchbase.com/organization/enveil-inc,"Analytics, Cloud Data Services, Security","Fulton, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2016-01-01,year,,,2017-11-09,4000000,USD,4000000,Corporate Round,4000000,USD,4000000,,"Bloomberg Beta, DataTribe, In-Q-Tel, Thomson Reuters",4
Exclusive Group,https://www.crunchbase.com/organization/exclusive-group,"Computer, Information Technology, Network Security, Security","Boulogne, Nord-Pas-de-Calais, France",European Union (EU),1995-01-01,year,2018-04-13,day,2018-04-13,,,,Private Equity,,,,M&A,"Andera Partners, Omnes Capital, Permira",3
Solebit,https://www.crunchbase.com/organization/solebit-labs,"Analytics, Artificial Intelligence, Computer, Cyber Security, Information Technology, Network Security, Real Time, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,2018-07-31,day,2018-03-14,11000000,USD,11000000,Series A,11000000,USD,11000000,M&A,"ClearSky, Glilot Capital Partners, MassMutual Ventures, Michael Dolinsky, Microsoft ScaleUp Tel Aviv",5
DFLabs,https://www.crunchbase.com/organization/dflabs,"Cyber Security, Network Security","Milano, Lombardia, Italy",European Union (EU),2004-10-01,day,,,2018-02-07,3500000,USD,3500000,Series A,3500000,USD,3500000,Early Stage Venture,Evolution Equity Partners,1
Tezos,https://www.crunchbase.com/organization/tezos,"Computer, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,,2017-07-13,232000000,USD,232000000,Initial Coin Offering,232000000,USD,232000000,,"Alexis Berthoud, Boost VC, Dalma Capital, James Sowers, Limitless Crypto Investments",10
OPĀQ Networks,https://www.crunchbase.com/organization/opaq-networks,"Computer, Network Security, Security","Herndon, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2017-01-01,year,,,2018-04-12,22500000,USD,22500000,Series B,22500000,USD,22500000,Early Stage Venture,"Columbia Capital, Greenspring Associates, Harmony Partners, Sway Ventures, Zero Gravity",5
ReFirm Labs,https://www.crunchbase.com/organization/refirm-labs,"Computer, Network Security, Software, Software Engineering","Fulton, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2017-01-01,year,,,2017-11-15,1500000,USD,1500000,Seed,1500000,USD,1500000,Seed,DataTribe,1
Sentinel Protocol,https://www.crunchbase.com/organization/sentinel-protocol,"Blockchain, Cyber Security, Information Technology","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,,2018-06-19,27700000,USD,27700000,Initial Coin Offering,27700000,USD,27700000,,,
Cyberinc,https://www.crunchbase.com/organization/cyberinc,"Cyber Security, Security, Service Industry","Los Gatos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2016-01-01,year,2018-01-03,day,2018-05-10,5275000,USD,5275000,Series A,5275000,USD,5275000,M&A,"Benhamou Global Ventures, Javelin Venture Partners",2
Umbo Computer Vision,https://www.crunchbase.com/organization/umbo-computer-vision,"Artificial Intelligence, Computer Vision, Machine Learning, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-03-30,day,,,2017-10-25,6800000,USD,6800000,Series A,6800000,USD,6800000,Early Stage Venture,"Alibaba Group, AppWorks, MESH, Phison Electronics, Wistron Corporation",7
DataDome,https://www.crunchbase.com/organization/datadome,"Analytics, Cyber Security, Internet, SaaS, Software","Paris, Ile-de-France, France",European Union (EU),2015-01-01,year,,,2018-01-31,2500000,EUR,3104294,Venture - Series Unknown,2500000,EUR,3104294,,"50 Partners, Francis Nappez, Isai, Quentin Nickmans, Wilco",15
TableSafe,https://www.crunchbase.com/organization/viableware,"Cyber Security, Hardware, Mobile Payments, SaaS, Software","Kirkland, Washington, United States","Greater Seattle Area, West Coast, Western US",2010-01-01,year,,,2017-10-11,5830739,USD,5830739,Series E,5830739,USD,5830739,Late Stage Venture,"SoundBoard Venture Fund, Swiftsure Capital",2
iSignthis,https://www.crunchbase.com/organization/isignthis,"Banking, FinTech, Identity Management, Internet, Payments","Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",2015-03-01,month,2012-05-11,day,2017-11-02,6500000,AUD,5014286,Post-IPO Equity,6500000,AUD,5014286,IPO,"Canaccord Genuity Group, John Karantzis, KTM Capital",3
Anonyome Labs,https://www.crunchbase.com/organization/anonyome-labs,"Privacy, Security","Salt Lake City, Utah, United States",Western US,2014-01-01,year,,,2017-08-28,20400000,USD,20400000,Series B,20400000,USD,20400000,Early Stage Venture,"Greg Clark, Hanna Ventures, Ken A. Eldred, Steve Shillingford, Todd Davis",6
Altr,https://www.crunchbase.com/organization/altr-6b82,"Computer, Security, Software","Austin, Texas, United States",Southern US,2017-01-01,year,,,2018-06-07,15000000,USD,15000000,Venture - Series Unknown,15000000,USD,15000000,,John Stafford III,1
Jscrambler,https://www.crunchbase.com/organization/jscrambler,"Cyber Security, Security, Web Apps, Web Development","Porto, Lisboa, Portugal",European Union (EU),2014-01-01,day,,,2018-03-05,2300000,USD,2300000,Series A,2300000,USD,2300000,Early Stage Venture,"Portugal Ventures, Sonae IM",2
SkySafe,https://www.crunchbase.com/organization/skysafe,"Aerospace, Drone Management, Drones, Robotics, Security","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2015-01-01,year,,,2017-07-20,11500000,USD,11500000,Series A,11500000,USD,11500000,Early Stage Venture,"Andreessen Horowitz, BoxGroup, Founder Collective, Sound Ventures, SV Angel",12
Casa,https://www.crunchbase.com/organization/casa-8a1a,"Cryptocurrency, Financial Services, Security","New City, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-01-01,year,,,2018-03-02,2100000,USD,2100000,Seed,2100000,USD,2100000,Seed,"Boost VC, Compound, Fabric Ventures, Lerer Hippeau",4
TAC Security,https://www.crunchbase.com/organization/tac-security-solutions,"Computer, Cyber Security","Chandigarh, Chandigarh, India",Asia-Pacific (APAC),2013-02-27,day,,,2018-01-20,500000,USD,500000,Venture - Series Unknown,500000,USD,500000,,"Subinder Khurana, Vijay Kedia",2
Red Sift,https://www.crunchbase.com/organization/redsift,"Artificial Intelligence, Big Data, Cyber Security, Email, PaaS, SaaS","London, England, United Kingdom",European Union (EU),2015-06-01,month,,,2018-04-25,,,,Non-equity Assistance,2000000,USD,2000000,Seed,"Entrée Capital, Isomer Capital, Oxford Capital Partners, Pitch@Palace, White Star Capital",5
Citadel Defense Company,https://www.crunchbase.com/organization/citadel-defense,"Aerospace, Drone Management, Drones, National Security, Physical Security, Security","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2016-01-01,year,,,2017-08-08,11999995,USD,11999995,Series A,11999995,USD,11999995,Early Stage Venture,"EvoNexus, Lightspeed Venture Partners",2
Cleeng,https://www.crunchbase.com/organization/cleeng,"Advertising, E-Commerce, Internet, SaaS, Security, Software, Video, Video on Demand","Amsterdam, Noord-Holland, The Netherlands",European Union (EU),2011-02-01,day,,,2018-06-26,5000000,EUR,5824763,Series B,5000000,EUR,5824763,Early Stage Venture,"C4 Ventures, Pascal Cagni, VOC Capital Partners, Walvis Participaties",4
Cyberwrite,https://www.crunchbase.com/organization/cyberwrite,"Cyber Security, Insurance, Machine Learning","Tel Aviv, Tel Aviv, Israel",,2016-04-01,day,,,2018-05-08,,,,Seed,,,,Seed,"500 Startups, Plug and Play, Plug and Play Insurtech, QC·VENTURES, Speedinvest",5
Protego Labs,https://www.crunchbase.com/organization/protego-labs,"Computer, Network Security","Baltimore, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2017-01-01,year,,,2018-05-09,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Glilot Capital Partners, MetroSITE Group, Ron Gula, Tim Belcher",4
GrammaTech,https://www.crunchbase.com/organization/grammatech,"Cyber Security, Developer Platform, Software","Ithaca, New York, United States","East Coast, Northeastern US",1988-01-01,year,,,2017-10-02,9000000,USD,9000000,Grant,,,,,United States Navy,1
Tech Bureau,https://www.crunchbase.com/organization/tech-bureau-inc-,"Cryptocurrency, FinTech, Security","Osaka, Osaka, Japan",Asia-Pacific (APAC),2014-06-16,day,,,2017-11-07,767500,USD,767500,Venture - Series Unknown,767500,USD,767500,,"Hiroshima Venture Capital, Infoteria Corporation, JAFCO Japan, OKWave, Shinsei Bank",9
ThreatBook,https://www.crunchbase.com/organization/threatbook,"Business Intelligence, Cyber Security, Network Security","Beijing, Beijing, China",Asia-Pacific (APAC),2015-09-01,month,,,2017-09-06,120000000,CNY,18402009,Series B,120000000,CNY,18402009,Early Stage Venture,"China Soft Capital, Hillhouse Capital Group, Microsoft Accelerator Beijing, Northern Light Venture Capital",4
Arviem,https://www.crunchbase.com/organization/arviem-ag,"Analytics, Internet of Things, Logistics, Security, Supply Chain Management","Baar, Zug, Switzerland",,2008-02-08,day,,,2018-04-05,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"investiere | Verve Capital Partners, SICPA, Swisscom, Swisscom Ventures, Zürcher Kantonal Bank",9
Baffin Bay Networks,https://www.crunchbase.com/organization/baffin-bay-networks,"Cyber Security, SaaS, Software","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",2017-02-15,day,,,2018-06-28,6400000,USD,6400000,Series A,6400000,USD,6400000,Early Stage Venture,EQT Ventures,1
Learning Machine Technologies,https://www.crunchbase.com/organization/learning-machine,"Blockchain, Education, Government, Human Resources, Identity Management, SaaS","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-01-01,year,,,2018-05-07,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,"Learn Capital, Omidyar Network, PTB Ventures",3
Nexkey,https://www.crunchbase.com/organization/nexkey-inc,"Cloud Computing, Hardware, Information Technology, Internet of Things, Mobile, Mobile Apps, SaaS, Security, Smart Building, Software","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2018-04-30,4800000,USD,4800000,Seed,4800000,USD,4800000,Seed,"K9 Ventures, Upfront Ventures",2
NXT-ID,https://www.crunchbase.com/organization/nxt-id,"Biometrics, Facial Recognition, Mobile, Mobile Apps, Security","Melbourne, Florida, United States","East Coast, Southern US",2011-01-01,year,2013-01-31,day,2018-05-29,16000000,USD,16000000,Post-IPO Debt,150000,USD,150000,IPO,"Connecticut Innovations, Sagard Holdings",2
"Inspirit IoT, Inc",https://www.crunchbase.com/organization/inspirit-iot-inc,"Consumer, Health Care, Industrial, Information Technology, Internet of Things, Security, Smart Home","Champaign, Illinois, United States","Great Lakes, Midwestern US",2016-06-01,day,,,2018-06-19,2052923,USD,2052923,Seed,2052923,USD,2052923,Seed,"Senscape Technologies, Small Business Innovation Research",2
Network Intelligence India Pvt. Ltd.,https://www.crunchbase.com/organization/network-intelligence-india-pvt-ltd,"Cyber Security, Security","Mumbai, Maharashtra, India",Asia-Pacific (APAC),2001-01-01,year,,,2018-06-15,330000000,INR,4840413,Private Equity,330000000,INR,4840413,Private Equity,Helix Investments,1
Anjuna,https://www.crunchbase.com/organization/anjuna,"Computer, Network Security, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-01-01,year,,,2018-01-12,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,"Data Collective DCVC, Dorm Room Fund, Founder Collective, Playground Global, Y Combinator",7
SaferVPN,https://www.crunchbase.com/organization/safervpn,"Cyber Security, Internet, Network Security, Private Social Networking, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-01-01,year,,,2017-08-15,1000000,USD,1000000,Venture - Series Unknown,1000000,USD,1000000,,,
Next Caller,https://www.crunchbase.com/organization/next-caller,"Call Center, Computer, Machine Learning, Network Security, Telecommunications","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2012-09-06,day,,,2017-08-28,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"CRCM Ventures, Pegasus Tech Ventures, TSVC, Wefunder, Y Combinator",11
Percipient.ai,https://www.crunchbase.com/organization/percipient-ai,"Analytics, National Security, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,,2018-03-13,14700000,USD,14700000,Series A,14700000,USD,14700000,Early Stage Venture,Venrock,1
Interface Security Systems,https://www.crunchbase.com/organization/interface-security-systems,"Analytics, Energy Management, Internet, Retail Technology, Security, VoIP","Plano, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",1995-01-01,year,,,2017-08-04,125000000,USD,125000000,Private Equity,125000000,USD,125000000,Private Equity,"Bregal Sagemount, Imperial Capital, Prudential Capital Partners, SunTx Capital Partners",4
mPrest,https://www.crunchbase.com/organization/mprest,"Information Technology, Medical, Security, Software, Telecommunications","Petah Tiqva, HaMerkaz, Israel",,2003-01-01,year,2010-01-01,day,2017-10-30,10000000,USD,10000000,Series B,10000000,USD,10000000,M&A,"GE Ventures, OurCrowd, QB1 Ventures, Vector Ltd",4
ClickIPO,https://www.crunchbase.com/organization/clickipo,"Financial Services, Retail, Security, Software","Scottsdale, Arizona, United States","Greater Phoenix Area, Western US",2011-01-01,year,,,2018-04-12,475001,USD,475001,Seed,475001,USD,475001,Seed,Jonathan Payne,1
empow cyber security,https://www.crunchbase.com/organization/empow-cyber-security,"Cyber Security, Information Technology, Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2014-01-01,year,,,2018-04-18,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,Ascent Venture Partners,1
NanoLock Security Ltd,https://www.crunchbase.com/organization/nanolock-security,"Computer, Cyber Security, Internet of Things, Software","Nitsané Oz, HaMerkaz, Israel",,2016-01-01,year,,,2017-10-24,4500000,USD,4500000,Venture - Series Unknown,4500000,USD,4500000,,"ATOORO FUND, Awz HLS Investment Fund I LP",2
PacketSled,https://www.crunchbase.com/organization/packetsled,"Analytics, Big Data, Cyber Security, Data Visualization, Internet of Things, Security","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2012-01-01,year,,,2017-10-10,3500000,USD,3500000,Series A,3500000,USD,3500000,Early Stage Venture,"Blu Venture Investors, JHS Ventures, Keshif Ventures",3
CM.com,https://www.crunchbase.com/organization/cm-telecom,"Developer APIs, Enterprise Software, Identity Management, Messaging, Mobile, Mobile Payments, Security, SMS, Telecommunications","Breda, Noord-Brabant, The Netherlands",European Union (EU),1999-02-01,day,,,2017-12-15,10000000,EUR,11756199,Debt Financing,,,,,European Investment Bank (EIB),1
Everspin,https://www.crunchbase.com/organization/everspin,"Cyber Security, Mobile Apps, Network Security","Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),2014-02-28,day,,,2018-04-14,4262174,USD,4262174,Series B,4262174,USD,4262174,Early Stage Venture,"BlackPine, DSC Investment, Mirae Asset Global Investments, Mirae Asset Venture Investment, SBI Group",8
Netki,https://www.crunchbase.com/organization/netki-inc,"Computer, FinTech, Privacy, Security","Canoga Park, California, United States","Greater Los Angeles Area, West Coast, Western US",2014-07-14,day,,,2018-05-03,,,,Convertible Note,3500000,USD,3500000,Seed,"Base Ventures, Bitfinex, Digital Currency Group, Donuts, Plug and Play",11
MinerEye,https://www.crunchbase.com/organization/minereye,"Artificial Intelligence, Compliance, Cyber Security, Security","Hod Hasharon, HaMerkaz, Israel",,2014-02-23,day,,,2017-08-01,3600000,USD,3600000,Seed,3600000,USD,3600000,Seed,"Awz HLS Investment Fund I LP, Marius Nacht, Microsoft ScaleUp Tel Aviv",3
Gladius,https://www.crunchbase.com/organization/gladius,"Cyber Security, Enterprise Software, Network Security, SaaS, Software, Virtualization","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",2017-04-01,month,,,2017-09-14,20000000,USD,20000000,Initial Coin Offering,20000000,USD,20000000,,,
WADIZ,https://www.crunchbase.com/organization/wadiz,"Crowdfunding, Information Technology, Security","Bundangdong, Kyonggi-do, South Korea",Asia-Pacific (APAC),2012-05-01,day,,,2017-09-22,11000000,USD,11000000,Venture - Series Unknown,11000000,USD,11000000,,"Korea Investment Partners, L&S Venture Capital, Shinhan Bank, Smilegate Investment, Stic Investment",5
Unnax,https://www.crunchbase.com/organization/unnax-payment-systems-slu,"Financial Services, FinTech, Identity Management, Intelligent Systems, Payments","Barcelona, Catalonia, Spain",European Union (EU),2015-01-15,day,,,2017-10-06,1500000,EUR,1759935,Series A,1500000,EUR,1759935,Early Stage Venture,"Keyword Venture Capital, Swanlaab Venture Factory",2
ScaleFT,https://www.crunchbase.com/organization/scaleft,"Cloud Computing, Infrastructure, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-05-11,day,2018-07-18,day,2017-07-19,2000000,USD,2000000,Seed,2000000,USD,2000000,M&A,"Fathom Capital, Fuel Capital, Graham Weston, Rackspace, S28 Capital",7
Decision Sciences,https://www.crunchbase.com/organization/decision-sciences,"Enterprise Software, Hardware, Security","Chantilly, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2001-01-01,year,,,2018-05-11,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,,,
QuintessenceLabs,https://www.crunchbase.com/organization/quintessencelabs,"Computer, Cyber Security, Network Security, Quantum Computing","Canberra, Australian Capital Territory, Australia","Asia-Pacific (APAC), Australasia",2006-01-01,year,,,2018-01-24,528000,AUD,425054,Grant,7473410,AUD,5866241,Early Stage Venture,,
Secucloud GmbH,https://www.crunchbase.com/organization/secucloud,"Cloud Computing, Cloud Security, Cyber Security, Mobile, Network Security","Hamburg, Hamburg, Germany",European Union (EU),2013-03-13,day,,,2017-10-01,5000000,EUR,5904414,Series B,5000000,EUR,5904414,Early Stage Venture,"Heilemann Ventures, Sonae IM",2
CounterCraft,https://www.crunchbase.com/organization/countercraft,"Cyber Security, Network Security, Security","San Sebastian, Pais Vasco, Spain",European Union (EU),2015-09-01,day,,,2018-03-21,2000000,EUR,2469324,Seed,2000000,EUR,2469324,Seed,"Adara Ventures, EASME - EU Executive Agency for SMEs, Evolution Equity Partners, NCSC Cyber Accelerator, Wayra",7
Spherical Defence Labs,https://www.crunchbase.com/organization/spherical-defence-labs,"Artificial Intelligence, Cyber Security, E-Commerce, Security","Walnut, California, United States","Greater Los Angeles Area, West Coast, Western US",2015-07-24,day,,,2018-01-31,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Conversion Capital, CyLon, Michael Pennington, NCSC Cyber Accelerator, Point72 Ventures",6
Zentera Systems,https://www.crunchbase.com/organization/zentera-systems,"Cloud Computing, Cloud Infrastructure, Cloud Security, Cyber Security, Enterprise, Network Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-01-01,year,,,2018-06-12,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,,China Development Industrial Bank (CDIB),1
Cyabra,https://www.crunchbase.com/organization/cyabra,"Cyber Security, Information Services, Natural Language Processing, SaaS, Social Media","Tel Aviv, Tel Aviv, Israel",,2017-08-01,month,,,2018-06-27,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,TAU Ventures,1
DataVisor,https://www.crunchbase.com/organization/datavisor,"Analytics, Artificial Intelligence, Big Data, Cyber Security, Fraud Detection, Internet, Machine Learning, Security, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-12-20,day,,,2018-02-09,40000000,USD,40000000,Series C,40000000,USD,40000000,Late Stage Venture,"Genesis Capital, GSR Ventures, New Enterprise Associates, Sequoia Capital China",4
APERIO Systems,https://www.crunchbase.com/organization/aperio-systems,"Cyber Security, Infrastructure, Real Time, Software","Haifa, Hefa, Israel",,2016-01-01,day,,,2018-02-07,4500000,USD,4500000,Seed,4500000,USD,4500000,Seed,"Data Point Capital, EDP, Jump Capital, Scopus Ventures",4
Entrupy,https://www.crunchbase.com/organization/entrupy,"Enterprise Software, Hardware, Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2012-01-01,year,,,2017-07-12,2600000,USD,2600000,Series A,2600000,USD,2600000,Early Stage Venture,"Daiwa Securities Group, DG Lab Fund, Zach Coelius",3
Minim,https://www.crunchbase.com/organization/minim,"Cyber Security, Internet of Things, Network Security, Security","Manchester, New Hampshire, United States","East Coast, New England, Northeastern US",2017-01-01,year,,,2018-04-30,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,"Company Ventures, Flybridge Capital Partners, Founder Collective",3
Allure Security Technology,https://www.crunchbase.com/organization/allure-security-technology-inc,"Analytics, Artificial Intelligence, Big Data, Cloud Security, Cyber Security, Machine Learning, Mobile, Risk Management","Waltham, Massachusetts, United States","Greater Boston Area, East Coast, New England",2009-01-01,year,,,2018-01-25,5300000,USD,5300000,Seed,5300000,USD,5300000,Seed,"Glasswing Ventures, Greycroft, Portage Partners, Zetta Venture Partners",4
Graphistry,https://www.crunchbase.com/organization/graphistry,"Analytics, Cloud Data Services, Cyber Security, Data Center Automation, Data Visualization, GPU, IT Management, Security","Oakland, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,day,,,2017-11-30,,,,Venture - Series Unknown,,,,,"Bloomberg Beta, Greylock Partners, In-Q-Tel, Kurt Keutzer, Nvidia GPU Ventures",7
ZenMate,https://www.crunchbase.com/organization/zenguard,"Browser Extensions, Privacy, Security, Software","Berlin, Berlin, Germany",European Union (EU),2013-01-01,year,2018-10-16,day,2018-06-13,23040,GBP,30832,Equity Crowdfunding,23040,GBP,30832,M&A,"Axel Springer Plug and Play Accelerator, Bessemer Venture Partners, Deutsche Telekom Strategic Investments, HV Holtzbrinck Ventures, Project A",7
Threatcare,https://www.crunchbase.com/organization/threatcare,"Cyber Security, Information Technology, Network Security, SaaS","Austin, Texas, United States",Southern US,2014-01-01,year,,,2018-01-04,1400000,USD,1400000,Seed,1400000,USD,1400000,Seed,"Firebrand Ventures, Flyover Capital, Moonshots Capital, Right Side Capital Management, Techstars",9
Kela Group,https://www.crunchbase.com/organization/kela-group,"Analytics, Artificial Intelligence, Business Intelligence, Computer, Cyber Security, Information Technology, Network Security","Tel Aviv, Tel Aviv, Israel",,2009-01-01,year,,,2018-05-16,50000000,USD,50000000,Private Equity,50000000,USD,50000000,Private Equity,Vector Capital,1
Picus Security,https://www.crunchbase.com/organization/picus-security,"Cyber Security, Enterprise Software, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2013-04-14,day,,,2017-10-11,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"ACT Venture Partners, Melih Odemis, ScaleX Ventures, Social Capital, Steve Ciesinski",5
SignalFrame,https://www.crunchbase.com/organization/the-wireless-registry,"Business Intelligence, Identity Management, Internet of Things, Location Based Services, Machine Learning","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",2013-02-15,day,,,2017-10-04,6200000,USD,6200000,Series A,6200000,USD,6200000,Early Stage Venture,"American Family Ventures, Blazar Ventures LLC, PJC, PROOF.VC",4
Quantum Xchange,https://www.crunchbase.com/organization/quantum-xchange,"Computer, Cyber Security, Information Technology","Bethesda, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",2018-01-01,year,,,2018-06-26,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,New Technology Ventures,1
Babban Gona,https://www.crunchbase.com/organization/babban-gona,"Agriculture, Farming, Financial Services, Network Security, Training","Lagos, Lagos, Nigeria",,2012-01-01,year,,,2017-07-18,4000000,USD,4000000,Debt Financing,20000000,USD,20000000,,FMO,1
VIDA,https://www.crunchbase.com/organization/solidx-partners,"Cloud Security, Cyber Security, Internet, Privacy, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-04-23,day,,,2017-10-15,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Brooklyn Bridge Ventures, Red Sea Ventures, Red Swan Ventures",3
